Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol99-1867?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=95&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy of Arts. MDCCCLXVII. (1867). The ninety-ninth., 1867",1867,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol100-1868?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=96&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1868. The 100th., 1868",1868,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol101-1869?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=97&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1869. The 101st., 1869",1869,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol102-1870?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=98&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1870. The 102nd., 1870",1870,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol103-1871?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=101&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1871. The 103rd., 1871",1871,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol104-1872?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=103&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1872. The 104th., 1872",1872,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol105-1873?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=105&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1873. The 105th., 1873",1873,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol106-1874?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=107&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1874. The 106th., 1874",3874,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol107-1875?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=109&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1875. The 107th., 1875",1875,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol108-1876?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=111&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1876. The 108th., 1876",1876,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol109-1877?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=113&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1877. The 109th., 1877",1877,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol110-1878?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=115&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1878. The 110th., 1878",1878,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol111-1879?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=117&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1879. The 111th., 1879",1879,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol112-1880?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=119&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1880. The 112th., 1880",1880,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol113-1881?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=122&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1881. The 113th., 1881",1881,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol114-1882?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=124&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1882. The 114th., 1882",1882,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol115-1883?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=126&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1883. The 115th., 1883",1883,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol116-1884?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=128&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1884. The 116th., 1884",1884,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol117-1885?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=130&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1885. The 117th., 1885",1885,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol118-1886?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=132&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1886. The 118th., 1886",1886,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol119-1887?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=134&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1887. The 119th., 1887",1887,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol120-1888?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=136&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1888. The 120th., 1888",1888,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol121-1889?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=138&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1889. The 121st., 1889",1889,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol122-1890?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=140&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1890. The 122nd., 1890",1890,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol123-1891?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=143&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1891. The 123rd., 1891",1891,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol124-1892?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=145&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1892. The 124th., 1892",1892,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol125-1893?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=147&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1893. The 125th., 1893",1893,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol126-1894?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=149&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1894. The 126th., 1894",1894,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol127-1895?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=151&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1895. The 127th., 1895",1895,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol128-1896?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=153&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1896. The 128th., 1896",1896,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol129-1897?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=155&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1897. The 129th., 1897",1897,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol130-1898?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=157&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1898. The 130th., 1898",1898,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol131-1899?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=159&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1899. The 131st., 1899",1899,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol132-1900?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=161&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1900. The 132nd., 1900",1900,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol133-1901?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=164&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1901. The 133rd., 1901",1901,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol134-1902?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=166&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1902. The 134th., 1902",1902,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol135-1903?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=168&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1903. The 135th., 1903",1903,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol136-1904?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=170&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1904. The 136th., 1904",1904,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol137-1905?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=172&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1905. The 137th., 1905",1905,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol138-1906?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=174&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1906. The 138th., 1906",1906,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol139-1907?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=176&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1907. The 139th., 1907",1907,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol140-1908?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=178&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1908. The 140th., 1908",1908,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol141-1909?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=180&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1909. The 141st., 1909",1909,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol142-1910?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=182&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1910. The 142nd., 1910",1910,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol143-1911?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=184&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1911. The 143rd., 1911",1911,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol144-1912?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=186&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1912. The 144th., 1912",1912,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol145-1913?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=188&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1913. The 145th., 1913",1913,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol146-1914?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=190&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1914. The 146th., 1914",1914,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol147-1915?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=191&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1915. The 147th., 1915",1915,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol148-1916?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=194&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1916. The 148th., 1916",1916,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol149-1917?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=196&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1917. The 149th., 1917",1917,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol150-1918?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=198&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1918. The 150th., 1918",1918,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol151-1919?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=201&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1919. The 151st., 1919",1919,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol152-1920?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=208&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1920. The 152nd., 1920",1920,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol153-1921?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=211&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1921. The 153rd., 1921",1921,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol154-1922?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=213&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1922. The 154th., 1922",1922,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol155-1923?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=215&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1923. The 155th., 1923",1923,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol156-1924?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=220&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1924. The 156th., 1924",1924,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol157-1925?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=223&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1925. The 157th., 1925",1925,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol158-1926?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=225&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1926. The 158th., 1926",1926,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol159-1927?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=231&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1927. The 159th., 1927",1927,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol160-1928?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=235&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1928. The 160th., 1928",1928,,,,,,,,,,,,,,,,,
1,,,,https://www.royalacademy.org.uk/art-artists/exhibition-catalogue/ra-sec-vol161-1929?all_fields=exhibition&commit=Search&date=&form=exhibition_catalogues&index=238&q=exhibition&title=&total_entries=350&utf8=%E2%9C%93,Londres,The Royal Academy,"The exhibition of the Royal Academy, 1929. The 161st., 1929",1929,,,,,,,,,,,,,,,,,
,,,,,,,Jusqu'en 2019,,,,,,,,,,,,,,,,,,
,,,,,Expositions des maîtres vivants aux Pays-Bas (sorte de Salon) de 1808 à 1917 catalogues non illustrés (https://rkd.nl/nl/explore/library#search=simple&query=Tentoonstelling%20van%20Levende%20Meesters&sort[sort_year]=asc&start=250),,,,,,,,,,,,,,,,,,,,
1,A demander - info@rkd.nl,,,https://rkd.nl/explore/library/122391,Amsterdam,non,"Lijst der schilderstukken van nog leevende inlandsche meesters welken tot de algemeene tentoon-stelling en prys-uitdeeling door Zijne Majesteit den Koning bepaald op den 15 september 1808, zijn toegelaten",1808,septembre,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106610,Amsterdam,non,"Lyst der kunstwerken van nog in leven zynde Hollandsche meesters, welke tot de algemeene tentoonstelling van 1810 zyn toegelaten",1810,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/265533,La Haye ,non,"Naamlyst der schilderyen van de schilders en liefhebbers van het Departement der Monden van de Maas welke zullen geplaatst worden in de zaal der tentoonstelling van de stad Den Haag, voor het publiek geopend zijnde van den 16 tot den 26 Augustus dezes jaars",1811,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106604,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de algemeene tentoonstelling van 1813",1813,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/238766,La Haye ,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters en kunstliefhebbers, welke ingezonden zijn voor de eerste tentoonstelling",1814,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106603,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de algemeene tentoonstelling van 1814",1814,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106602,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1816",1816,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/265532,La Haye ,non,"Lijst der kunstwerken van nog in leven zynde Nederlandsche meesters en kunstliefhebbers welke geplaatst zyn tot de tentoonstelling in 's-Gravenhage gedurende de maand October 1817 = Catalogue des ouvrages de peinture, etc. executé par des artistes et amat",1817,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106600,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1818",1818,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106595,La Haye ,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters en kunstliefhebbers, welke zijn toegelaten tot de tentoonstelling in 's Gravenhage, gedurende de maand october 1819",1819,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106596,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1820",1820,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106597,La Haye ,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters en kunstliefhebbers, welke zijn toegelaten tot de tentoonstelling in 's Gravenhage, gedurende de maand october 1821",1821,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106598,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1822",1822,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106591,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1824",1824,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106608,La Haye ,non,"Lijst der schilderwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling te 's Gravenhage, van den jare 1825",1825,,,,,,,,,,,,,,,,,
,,,,https://rkd.nl/explore/library/106984,Haarlem,non,"Lijst der schilder- en beeldhouwwerken van nog in leven zijnde Noord-Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling te Haarlem, van den jare 1825",1825,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106612,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1826",1826,,,,,,,,,,,,,,,,,
,,,,https://rkd.nl/explore/library/106606,La Haye ,non,"Lijst der schilderwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling te 's Gravenhage, van den jare 1827",1827,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106611,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1828",1828,,,,,,,,,,,,,,,,,
,,,,https://rkd.nl/explore/library/106646,La Haye ,non,"Lijst der schilder- en kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling te 's Gravenhage van den jare 1830",1830,,,,,,,,,,,,,,,,,
1,,,,https://rkd.nl/explore/library/106645,Amsterdam,non,"Lijst der kunstwerken van nog in leven zijnde Nederlandsche meesters, welke zijn toegelaten tot de tentoonstelling van den jare 1830",1830,,,,,,,,,,,,,,,,,
